"date","year","month","season","zone","landing"
2006-01-01,2006,1,2,"S",115.13
2006-01-01,2006,1,2,"S",108.6
2006-01-01,2006,1,2,"S",118.36
2006-01-01,2006,1,2,"S",153.85
2006-01-01,2006,1,2,"S",348.21
2006-01-01,2006,1,2,"S",280.57
2006-01-01,2006,1,2,"S",43.4
2006-01-01,2006,1,2,"S",258.81
2006-01-01,2006,1,2,"S",298.92
2006-01-01,2006,1,2,"S",489.95
2006-01-01,2006,1,2,"S",19.26
2006-01-01,2006,1,2,"S",220.97
2006-01-01,2006,1,2,"S",214.55
2006-01-01,2006,1,2,"S",251.5
2006-01-01,2006,1,2,"S",313.79
2006-01-01,2006,1,2,"S",26.21
2006-01-01,2006,1,2,"S",544.66
2006-01-01,2006,1,2,"S",146.78
2006-01-01,2006,1,2,"S",164.34
2006-01-01,2006,1,2,"S",146.59
2006-01-01,2006,1,2,"S",118.65
2006-01-01,2006,1,2,"S",288.72
2006-01-01,2006,1,2,"S",176.77
2006-01-01,2006,1,2,"S",296.02
2006-01-01,2006,1,2,"S",300.03
2006-01-01,2006,1,2,"S",146.18
2006-01-01,2006,1,2,"S",40.02
2006-01-01,2006,1,2,"S",250.65
2006-01-01,2006,1,2,"S",21.69
2006-01-01,2006,1,2,"S",191.15
2006-01-01,2006,1,2,"S",450.04
2006-01-01,2006,1,2,"S",44.59
2006-01-01,2006,1,2,"S",274.6
2006-01-01,2006,1,2,"S",165.46
2006-01-01,2006,1,2,"S",305.74
2006-01-01,2006,1,2,"S",145.69
2006-01-01,2006,1,2,"S",194.56
2006-01-01,2006,1,2,"S",98.85
2006-01-01,2006,1,2,"S",320.21
2006-01-01,2006,1,2,"S",174.4
2006-01-01,2006,1,2,"S",146.05
2006-01-01,2006,1,2,"S",155.06
2006-01-01,2006,1,2,"S",268.01
2006-01-01,2006,1,2,"S",75.49
2006-01-01,2006,1,2,"S",154.94
2006-01-01,2006,1,2,"S",207.3
2006-01-01,2006,1,2,"S",404.03
2006-01-01,2006,1,2,"S",388.2
2006-01-01,2006,1,2,"S",78.09
2006-01-01,2006,1,2,"S",492.2
2006-01-01,2006,1,2,"S",344.82
2006-01-01,2006,1,2,"S",189.85
2006-01-01,2006,1,2,"S",369.25
2006-01-01,2006,1,2,"S",68.87
2006-01-01,2006,1,2,"S",181.09
2006-01-01,2006,1,2,"S",394.85
2006-01-01,2006,1,2,"S",215.31
2006-01-01,2006,1,2,"S",664.97
2006-01-01,2006,1,2,"S",58.97
2006-01-01,2006,1,2,"S",754.69
2006-01-01,2006,1,2,"S",690.53
2006-01-01,2006,1,2,"S",157.85
2006-01-01,2006,1,2,"S",120.4
2006-01-01,2006,1,2,"S",225.07
2006-01-01,2006,1,2,"S",529.34
2006-01-01,2006,1,2,"S",107.74
2006-01-01,2006,1,2,"S",281.41
2006-01-01,2006,1,2,"S",223.21
2006-01-01,2006,1,2,"S",39.66
2006-01-01,2006,1,2,"S",233.55
2006-01-01,2006,1,2,"S",139.21
2006-01-01,2006,1,2,"S",119.83
2006-01-01,2006,1,2,"S",178.78
2006-01-01,2006,1,2,"S",197.4
2006-01-01,2006,1,2,"S",189.74
2006-01-01,2006,1,2,"S",263.59
2006-01-01,2006,1,2,"S",234.45
2006-01-01,2006,1,2,"S",312.77
2006-01-01,2006,1,2,"S",112
2006-01-01,2006,1,2,"S",117.04
2006-01-01,2006,1,2,"S",108.57
2006-01-01,2006,1,2,"S",325.64
2006-01-01,2006,1,2,"S",406.58
2006-01-01,2006,1,2,"S",292.59
2006-01-01,2006,1,2,"S",53.28
2006-01-01,2006,1,2,"S",570.5
2006-01-01,2006,1,2,"S",255.64
2006-01-01,2006,1,2,"S",185.73
2006-01-01,2006,1,2,"S",401.35
2006-01-01,2006,1,2,"S",210.02
2006-01-01,2006,1,2,"S",37.03
2006-01-01,2006,1,2,"S",363.04
2006-01-01,2006,1,2,"S",253.09
2006-01-01,2006,1,2,"S",199.45
2006-01-01,2006,1,2,"S",240.59
2006-01-01,2006,1,2,"S",13.68
2006-01-01,2006,1,2,"S",666.67
2006-01-01,2006,1,2,"S",225.98
2006-01-01,2006,1,2,"S",366.87
2006-01-01,2006,1,2,"S",152.57
2006-01-01,2006,1,2,"S",46.25
2006-01-01,2006,1,2,"S",292.91
2006-01-01,2006,1,2,"S",197.06
2006-01-01,2006,1,2,"S",75.19
2006-01-01,2006,1,2,"S",180.77
2006-01-01,2006,1,2,"S",31.22
2006-01-01,2006,1,2,"S",266.79
2006-01-01,2006,1,2,"S",408.79
2006-01-01,2006,1,2,"S",161.4
2006-01-01,2006,1,2,"S",211.21
2006-01-01,2006,1,2,"S",230.27
2006-01-01,2006,1,2,"S",18.44
2006-01-01,2006,1,2,"S",189.83
2006-01-01,2006,1,2,"S",204.23
2006-01-01,2006,1,2,"S",63.13
2006-01-01,2006,1,2,"S",171.91
2006-01-01,2006,1,2,"S",97.84
2006-01-01,2006,1,2,"S",324.57
2006-01-01,2006,1,2,"S",173.18
2006-01-01,2006,1,2,"S",143.53
2006-01-01,2006,1,2,"S",112.43
2006-01-01,2006,1,2,"S",202.41
2006-01-01,2006,1,2,"S",154.93
2006-01-01,2006,1,2,"S",13.22
2006-01-01,2006,1,2,"S",229.06
2006-01-01,2006,1,2,"S",163.74
2006-01-01,2006,1,2,"S",69.93
2006-01-01,2006,1,2,"S",105.73
2006-01-01,2006,1,2,"S",272.41
2006-01-01,2006,1,2,"S",119.92
2006-01-01,2006,1,2,"S",147.05
2006-01-01,2006,1,2,"S",219.44
2006-01-01,2006,1,2,"S",216.28
2006-01-01,2006,1,2,"S",158.09
2006-01-01,2006,1,2,"S",13.01
2006-01-01,2006,1,2,"S",151.9
2006-01-01,2006,1,2,"S",63.49
2006-01-01,2006,1,2,"S",23.7
2006-01-01,2006,1,2,"S",244.87
2006-01-01,2006,1,2,"S",288.03
2006-01-01,2006,1,2,"S",5.25
2006-01-01,2006,1,2,"S",61.79
2006-01-01,2006,1,2,"S",157.76
2006-01-01,2006,1,2,"S",49.51
2006-01-01,2006,1,2,"S",121.32
2006-01-01,2006,1,2,"S",353.81
2006-01-01,2006,1,2,"S",105.75
2006-01-01,2006,1,2,"S",336.72
2006-01-01,2006,1,2,"S",640.91
2006-01-01,2006,1,2,"S",140.81
2006-01-01,2006,1,2,"S",149.16
2006-01-01,2006,1,2,"S",120.05
2006-01-01,2006,1,2,"S",321.29
2006-01-01,2006,1,2,"S",64.6
2006-01-01,2006,1,2,"S",274.35
2006-01-01,2006,1,2,"S",531.71
2006-01-01,2006,1,2,"S",208.95
2006-01-01,2006,1,2,"S",75.39
2006-01-01,2006,1,2,"S",331.73
2006-01-01,2006,1,2,"S",161.45
2006-01-01,2006,1,2,"S",141.03
2006-01-01,2006,1,2,"S",132.59
2006-01-01,2006,1,2,"S",281.29
2006-01-01,2006,1,2,"S",34.02
2006-01-01,2006,1,2,"S",27.03
2006-01-01,2006,1,2,"S",160.27
2006-01-01,2006,1,2,"S",125.48
2006-01-01,2006,1,2,"S",583.2
2006-01-01,2006,1,2,"S",5.58
2006-01-01,2006,1,2,"S",101.9
2006-01-01,2006,1,2,"S",289.13
2006-01-01,2006,1,2,"S",315.05
2006-01-01,2006,1,2,"S",280.26
2006-01-01,2006,1,2,"S",259.8
2006-01-01,2006,1,2,"S",363.69
2006-01-01,2006,1,2,"S",251.89
2006-01-01,2006,1,2,"S",221.02
2006-01-01,2006,1,2,"S",162.15
2006-01-01,2006,1,2,"S",286.24
2006-01-01,2006,1,2,"S",245.45
2006-01-01,2006,1,2,"S",237.51
2006-01-01,2006,1,2,"S",125.69
2006-01-01,2006,1,2,"S",678.59
2006-01-01,2006,1,2,"S",221.83
2006-01-01,2006,1,2,"S",544.82
2006-01-01,2006,1,2,"S",312.96
2006-01-01,2006,1,2,"S",381.29
2006-01-01,2006,1,2,"S",179.24
2006-01-01,2006,1,2,"S",101.35
2006-01-01,2006,1,2,"S",527.35
2006-01-01,2006,1,2,"S",714.01
2006-01-01,2006,1,2,"S",273.23
2006-01-01,2006,1,2,"S",376.39
2006-01-01,2006,1,2,"S",178.05
2006-01-01,2006,1,2,"S",358.54
2006-01-01,2006,1,2,"S",336.63
2006-01-01,2006,1,2,"S",210.45
2006-01-01,2006,1,2,"S",282.57
2006-01-01,2006,1,2,"S",317.43
2006-01-01,2006,1,2,"S",173.67
2006-01-01,2006,1,2,"S",348.8
2006-01-01,2006,1,2,"S",649.61
2006-01-01,2006,1,2,"S",613.07
2006-01-01,2006,1,2,"S",177.5
2006-01-01,2006,1,2,"S",102.97
2006-01-01,2006,1,2,"S",145.41
2006-01-01,2006,1,2,"S",233.47
2006-01-01,2006,1,2,"S",259.01
2006-01-01,2006,1,2,"S",769.86
2006-01-01,2006,1,2,"S",69.03
2006-01-01,2006,1,2,"S",203.51
2006-01-01,2006,1,2,"S",243.84
2006-01-01,2006,1,2,"S",103.75
2006-01-01,2006,1,2,"S",191.47
2006-01-01,2006,1,2,"S",187.57
2006-01-01,2006,1,2,"S",19.32
2006-01-01,2006,1,2,"S",155.8
2006-01-01,2006,1,2,"S",299.84
2006-01-01,2006,1,2,"S",336.43
2006-01-01,2006,1,2,"S",272.77
2006-01-01,2006,1,2,"S",149.71
2006-01-01,2006,1,2,"S",565.99
2006-01-01,2006,1,2,"S",357.4
2006-01-01,2006,1,2,"S",231.16
2006-01-01,2006,1,2,"S",185.05
2006-01-01,2006,1,2,"S",94.71
2006-01-01,2006,1,2,"S",178.57
2006-01-01,2006,1,2,"S",41.61
2006-01-01,2006,1,2,"S",442.21
2006-01-01,2006,1,2,"S",168.01
2006-01-01,2006,1,2,"S",164.46
2006-01-01,2006,1,2,"S",200.2
2006-01-01,2006,1,2,"S",53.8
2006-01-01,2006,1,2,"S",449.04
2006-01-01,2006,1,2,"S",176.33
2006-01-01,2006,1,2,"S",159.4
2006-01-01,2006,1,2,"S",207.66
2006-01-01,2006,1,2,"S",127.2
2006-01-01,2006,1,2,"S",226.87
2006-01-01,2006,1,2,"S",351
2006-01-01,2006,1,2,"S",221.62
2006-01-01,2006,1,2,"S",490.22
2006-01-01,2006,1,2,"S",445.91
2006-01-01,2006,1,2,"S",262.82
2006-01-01,2006,1,2,"S",528.81
2006-01-01,2006,1,2,"S",425.43
2006-01-01,2006,1,2,"S",588.03
2006-01-01,2006,1,2,"S",334.25
2006-01-01,2006,1,2,"S",231.44
2006-01-01,2006,1,2,"S",339.35
2006-01-01,2006,1,2,"S",727.63
2006-01-01,2006,1,2,"S",64.36
2006-01-01,2006,1,2,"S",470.48
2006-01-01,2006,1,2,"S",409.11
2006-01-01,2006,1,2,"S",394.69
2006-01-01,2006,1,2,"S",431.81
2006-01-01,2006,1,2,"S",17.43
2006-01-01,2006,1,2,"S",291.91
2006-01-01,2006,1,2,"S",426.85
2006-01-01,2006,1,2,"S",269.13
2006-01-01,2006,1,2,"S",403.37
2006-01-01,2006,1,2,"S",356.04
2006-01-01,2006,1,2,"S",171.34
2006-01-01,2006,1,2,"S",103.25
2006-01-01,2006,1,2,"S",45.42
2006-01-01,2006,1,2,"S",48.67
2006-01-01,2006,1,2,"S",126.92
2006-01-01,2006,1,2,"S",80.07
2006-01-01,2006,1,2,"S",62.01
2006-01-01,2006,1,2,"S",230.21
2006-01-01,2006,1,2,"S",173.45
2006-01-01,2006,1,2,"S",100.17
2006-01-01,2006,1,2,"S",266.6
2006-01-01,2006,1,2,"S",57.91
2006-01-01,2006,1,2,"S",61.39
2006-01-01,2006,1,2,"S",141.11
2006-01-01,2006,1,2,"S",66.26
2006-01-01,2006,1,2,"S",267.83
2006-01-01,2006,1,2,"S",219.23
2006-01-01,2006,1,2,"S",106.78
2006-01-01,2006,1,2,"S",215.22
2006-01-01,2006,1,2,"S",124.27
2006-01-01,2006,1,2,"S",25.73
2006-01-01,2006,1,2,"S",138.42
2006-01-01,2006,1,2,"S",119.28
2006-01-01,2006,1,2,"S",3.92
2006-01-01,2006,1,2,"S",98.23
2006-01-01,2006,1,2,"S",53.36
2006-01-01,2006,1,2,"S",113.03
